workload	sample	makespan	synchronization	distribution	filesystem
workload1	1	0	async	distributed	NFS
workload1	2	0	async	distributed	NFS
workload1	3	0	async	distributed	NFS
workload1	4	0	async	distributed	NFS
workload1	5	0	async	distributed	NFS
workload1	6	0	async	distributed	NFS
workload1	7	0	async	distributed	NFS
workload1	8	0	async	distributed	NFS
workload1	9	0	async	distributed	NFS
workload1	10	1	async	distributed	NFS
workload1	1	0	sync	distributed	NFS
workload1	2	0	sync	distributed	NFS
workload1	3	0	sync	distributed	NFS
workload1	4	0	sync	distributed	NFS
workload1	5	1	sync	distributed	NFS
workload1	6	1	sync	distributed	NFS
workload1	7	0	sync	distributed	NFS
workload1	8	1	sync	distributed	NFS
workload1	9	0	sync	distributed	NFS
workload1	10	1	sync	distributed	NFS
workload2	1	8	async	distributed	NFS
workload2	2	9	async	distributed	NFS
workload2	3	8	async	distributed	NFS
workload2	4	9	async	distributed	NFS
workload2	5	9	async	distributed	NFS
workload2	6	8	async	distributed	NFS
workload2	7	9	async	distributed	NFS
workload2	8	9	async	distributed	NFS
workload2	9	8	async	distributed	NFS
workload2	10	8	async	distributed	NFS
workload2	1	35	sync	distributed	NFS
workload2	2	35	sync	distributed	NFS
workload2	3	35	sync	distributed	NFS
workload2	4	35	sync	distributed	NFS
workload2	5	36	sync	distributed	NFS
workload2	6	33	sync	distributed	NFS
workload2	7	39	sync	distributed	NFS
workload2	8	35	sync	distributed	NFS
workload2	9	36	sync	distributed	NFS
workload2	10	44	sync	distributed	NFS
workload3	1	59	async	distributed	NFS
workload3	2	58	async	distributed	NFS
workload3	3	58	async	distributed	NFS
workload3	4	61	async	distributed	NFS
workload3	5	58	async	distributed	NFS
workload3	6	59	async	distributed	NFS
workload3	7	58	async	distributed	NFS
workload3	8	58	async	distributed	NFS
workload3	9	58	async	distributed	NFS
workload3	10	58	async	distributed	NFS
workload3	1	69	sync	distributed	NFS
workload3	2	67	sync	distributed	NFS
workload3	3	68	sync	distributed	NFS
workload3	4	68	sync	distributed	NFS
workload3	5	71	sync	distributed	NFS
workload3	6	67	sync	distributed	NFS
workload3	7	68	sync	distributed	NFS
workload3	8	68	sync	distributed	NFS
workload3	9	68	sync	distributed	NFS
workload3	10	68	sync	distributed	NFS
workload4	1	11	async	distributed	NFS
workload4	2	13	async	distributed	NFS
workload4	3	11	async	distributed	NFS
workload4	4	11	async	distributed	NFS
workload4	5	11	async	distributed	NFS
workload4	6	12	async	distributed	NFS
workload4	7	12	async	distributed	NFS
workload4	8	11	async	distributed	NFS
workload4	9	11	async	distributed	NFS
workload4	10	11	async	distributed	NFS
workload4	1	70	sync	distributed	NFS
workload4	2	60	sync	distributed	NFS
workload4	3	61	sync	distributed	NFS
workload4	4	62	sync	distributed	NFS
workload4	5	59	sync	distributed	NFS
workload4	6	58	sync	distributed	NFS
workload4	7	61	sync	distributed	NFS
workload4	8	61	sync	distributed	NFS
workload4	9	61	sync	distributed	NFS
workload4	10	61	sync	distributed	NFS
